"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
10,1006,28,28,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,3
10,1007,3,2,5,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,3
10,1008,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
10,1009,21,21,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,3
10,1010,35,35,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
10,1011,3,2,5,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,3
10,1012,3,2,5,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,3
10,1013,83,83,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,3
10,1014,23,23,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,3
10,1015,3,2,5,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,3
10,1016,60,60,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,3
10,1017,55,50,60,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1
10,1018,5,5,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,4
11,1101,40,40,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,4
11,1102,22,22,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,2
11,1103,41,41,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
11,1104,16,16,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
11,1105,32,32,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,2
11,1106,50,50,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
11,1107,28,28,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,NA
11,1108,14,14,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
12,1201,30,30,NA,"M",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,1,5
12,1202,42,42,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
12,1203,25,25,NA,"F",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,1,5
12,1204,42,42,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
13,1301,42,42,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1302,3,3,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1303,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
13,1304,66,66,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
13,1305,42,42,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1306,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
13,1307,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
13,1308,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
13,1309,8,8,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,3
13,1310,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,5
13,1311,9,8,10,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,3
13,1312,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
13,1313,64,64,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1314,42,42,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1315,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,3
13,1316,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
13,1317,42,42,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1318,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
13,1319,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
13,1320,62,62,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1321,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1322,9,8,10,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,3
13,1323,9,8,10,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,3
13,1324,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1325,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
13,1326,3,3,NA,"F",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,NA
13,1327,42,42,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
13,1328,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
13,1329,38,38,NA,"F",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,5
13,1330,62,62,NA,"F",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,5
13,1331,42,42,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
13,1332,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
13,1333,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
13,1334,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
13,1335,65,65,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA,3
13,1336,8,8,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
13,1337,3,3,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2
14,1401,39,39,NA,"F",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,5
14,1402,42,42,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,1,4
14,1403,76,76,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,3
14,1404,2,2,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
14,1405,2,2,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
14,1406,42,39,45,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,1,2
14,1407,2,2,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
14,1408,39,39,NA,"M",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,5
14,1409,10,10,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
15,1501,40,40,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
15,1502,62,60,65,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1
